1 Gender,2 Country of residence,3 University,4 Where do you live? ,5 Grade,"6 I consider myself a tech-savvy (well informed about or proficient in the use of modern technology, especially computers)",7 I have an understanding of the basic computational principles of artificial intelligence (AI),8 I am comfortable with the nomenclature related to artificial intelligence,9 I have an understanding of the limitations of artificial intelligence,10 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Were you already aware of these topics in radiology?],11 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Do you personally have a basic understanding of the technologies used in these topics?],12 Your exposure to artificial intelligence includes: (Please select all that apply),"13 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning is a class of machine learning algorithms that use multiple layers of neural networks.]","14 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning methods learn directly from data, without the need for manual feature extraction.]","15 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Application of deep learning in radiology requires large databases of labeled medical images.]","16 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning systems are often opaque: it can be difficult to delineate the underlying ""thought process"".]",17 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize radiology],18 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize medicine in general],19 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human radiologist will be replaced in the foreseeable future],20 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human (non-interventional) physician will be replaced in the foreseeable future],"21 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [In the foreseeable future, all physicians will be replaced]",22 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments frighten me],23 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make radiology more exciting to me],24 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make medicine in general more exciting to me],25 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will never make the human physician expendable],26 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The impact of artificial intelligence alone will reduce the number of radiologists that are needed.],27 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve radiology],28 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve medicine in general],"29 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [I am less likely to consider a career in radiology, given the advancement of AI]",30 Which of these specialties do you think will be impacted the earliest and most?,31 All medical students should receive teaching in artificial intelligence,32 Teaching in artificial intelligence will be beneficial for my career,"33 At the end of my medical degree, I will be confident in using basic healthcare AI tools if required","34 At the end of my medical degree, I will have a better understanding of the methods used to assess healthcare AI algorithm performance","35 Overall, at the end of my medical degree, I feel I will possess the knowledge needed to work with AI in routine clinical practice",36 Would you consider using the following clinical workflow? Patients' clinical images undergo artificial intelligence analysis. A specialist subsequently reviews both the image and the artificial intelligence findings.,37 What potential applications for AI in radiology do you see? [Automated detection of pathologies in imaging exams],38 What potential applications for AI in radiology do you see? [Automated diagnosis in imaging exams],39 What potential applications for AI in radiology do you see? [Automated indication of appropriate imaging exams],40 I have received teaching/training in artificial intelligence,41 Was this teaching/training a compulsory part of your medical degree?,42 Please rate the usefulness of the teaching/training you have received
Male,Yemen,Private,Urban,2,3,4,3,5,No,Yes,None of the above,I don't know,I don't know,TRUE,I don't know,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly disagree,Other,4,2,3,3,3,Unsure,Neutral,Neutral,Agree,No,,
Female,Yemen,Governnmental,Urban,4,3,3,3,3,No,No,Clinical research involving artificial intelligence,TRUE,I don't know,TRUE,I don't know,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Surgery,5,5,3,4,4,Yes,Agree,Agree,Agree,No,,
Female,Yemen,Governnmental,Urban,4,5,3,4,3,Yes,No,Computer science projects involving artificial intelligence,TRUE,I don't know,TRUE,I don't know,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Diagnostic radiology,5,4,3,4,3,Yes,Strongly agree,Strongly disagree,Disagree,No,,
Male,Yemen,Governnmental,Rural,5,3,2,2,2,Yes,Yes,Computer science projects involving artificial intelligence,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Surgery,3,3,3,2,3,Yes,Agree,Agree,Agree,Yes,Yes,3
Male,Yemen,Governnmental,Urban,6,4,2,3,4,No,No,None of the above,TRUE,TRUE,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Diagnostic radiology,5,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Male,Yemen,Governnmental,Urban,6,5,5,5,5,Yes,Yes,Computer science projects involving artificial intelligence,FALSE,I don't know,TRUE,I don't know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Internal medicine,5,5,5,5,5,Yes,Agree,Agree,Agree,Yes,Yes,5
Female,Yemen,Governnmental,Urban,6,5,4,5,3,Yes,Yes,"Courses on artificial intelligence / machine learning, Computer science projects involving artificial intelligence",TRUE,I don't know,TRUE,FALSE,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Surgery,5,5,5,4,5,Yes,Neutral,Neutral,Neutral,Yes,No,5
Male,Yemen,Governnmental,Rural,6,3,1,3,3,Yes,No,None of the above,TRUE,I don't know,TRUE,TRUE,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Other,4,4,4,4,3,Unsure,Agree,Agree,Agree,Yes,No,3
Male,Yemen,Governnmental,Rural,6,4,5,4,5,Yes,Yes,None of the above,FALSE,FALSE,TRUE,FALSE,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Surgery,5,4,4,4,4,Yes,Agree,Strongly agree,Strongly agree,No,,
Male,Yemen,Governnmental,Urban,6,3,2,3,2,Yes,Yes,Computer science projects involving artificial intelligence,I don't know,TRUE,TRUE,TRUE,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Diagnostic radiology,4,4,3,4,3,Unsure,Agree,Agree,Strongly agree,No,,
