"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","1","8 (1.8)","14 (2.5)","18 (3.4)","19 (3.7)","34 (4.7)","7 (1.8)","29 (6.1)","12 (2.5)","22 (5.7)","163 (3.6)","<0.001"
"2","","2","17 (3.9)","45 (8.0)","24 (4.5)","45 (8.9)","33 (4.5)","18 (4.6)","20 (4.2)","45 (9.5)","30 (7.8)","277 (6.2)",""
"3","","3","86 (19.7)","118 (21.0)","94 (17.6)","107 (21.1)","131 (17.9)","100 (25.8)","98 (20.7)","112 (23.6)","74 (19.3)","920 (20.5)",""
"4","","4","95 (21.7)","192 (34.1)","126 (23.6)","149 (29.3)","163 (22.3)","137 (35.3)","87 (18.4)","131 (27.6)","102 (26.6)","1182 (26.3)",""
"5","","5","231 (52.9)","194 (34.5)","271 (50.8)","188 (37.0)","369 (50.5)","126 (32.5)","240 (50.6)","175 (36.8)","156 (40.6)","1950 (43.4)",""
"6","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","1","7 (1.6)","10 (1.8)","15 (2.8)","10 (2.0)","19 (2.6)","5 (1.3)","22 (4.6)","13 (2.7)","17 (4.4)","118 (2.6)","<0.001"
"7","","2","10 (2.3)","38 (6.7)","22 (4.1)","37 (7.3)","38 (5.2)","16 (4.1)","31 (6.5)","36 (7.6)","34 (8.9)","262 (5.8)",""
"8","","3","75 (17.2)","143 (25.4)","118 (22.1)","110 (21.7)","139 (19.0)","91 (23.5)","74 (15.6)","107 (22.5)","72 (18.8)","929 (20.7)",""
"9","","4","128 (29.3)","186 (33.0)","137 (25.7)","169 (33.3)","183 (25.1)","141 (36.3)","112 (23.6)","158 (33.3)","119 (31.0)","1333 (29.7)",""
"10","","5","217 (49.7)","186 (33.0)","241 (45.2)","182 (35.8)","351 (48.1)","135 (34.8)","235 (49.6)","161 (33.9)","142 (37.0)","1850 (41.2)",""
"11","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","1","112 (25.6)","56 (9.9)","29 (5.4)","36 (7.1)","38 (5.2)","17 (4.4)","29 (6.1)","67 (14.1)","25 (6.5)","409 (9.1)","<0.001"
"12","","2","78 (17.8)","100 (17.8)","57 (10.7)","76 (15.0)","70 (9.6)","54 (13.9)","53 (11.2)","73 (15.4)","56 (14.6)","617 (13.7)",""
"13","","3","99 (22.7)","162 (28.8)","163 (30.6)","164 (32.3)","191 (26.2)","116 (29.9)","125 (26.4)","143 (30.1)","133 (34.6)","1296 (28.9)",""
"14","","4","74 (16.9)","118 (21.0)","118 (22.1)","131 (25.8)","184 (25.2)","125 (32.2)","95 (20.0)","100 (21.1)","92 (24.0)","1037 (23.1)",""
"15","","5","74 (16.9)","127 (22.6)","166 (31.1)","101 (19.9)","247 (33.8)","76 (19.6)","172 (36.3)","92 (19.4)","78 (20.3)","1133 (25.2)",""
"16","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","1","122 (27.9)","76 (13.5)","46 (8.6)","48 (9.4)","50 (6.8)","20 (5.2)","39 (8.2)","71 (14.9)","35 (9.1)","507 (11.3)","<0.001"
"17","","2","76 (17.4)","112 (19.9)","69 (12.9)","90 (17.7)","98 (13.4)","64 (16.5)","67 (14.1)","81 (17.1)","79 (20.6)","736 (16.4)",""
"18","","3","115 (26.3)","180 (32.0)","154 (28.9)","178 (35.0)","229 (31.4)","136 (35.1)","134 (28.3)","155 (32.6)","115 (29.9)","1396 (31.1)",""
"19","","4","58 (13.3)","110 (19.5)","135 (25.3)","109 (21.5)","177 (24.2)","110 (28.4)","100 (21.1)","97 (20.4)","98 (25.5)","994 (22.1)",""
"20","","5","66 (15.1)","85 (15.1)","129 (24.2)","83 (16.3)","176 (24.1)","58 (14.9)","134 (28.3)","71 (14.9)","57 (14.8)","859 (19.1)",""
"21","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","1","135 (30.9)","81 (14.4)","44 (8.3)","41 (8.1)","55 (7.5)","19 (4.9)","39 (8.2)","72 (15.2)","33 (8.6)","519 (11.6)","<0.001"
"22","","2","89 (20.4)","108 (19.2)","73 (13.7)","94 (18.5)","83 (11.4)","70 (18.0)","66 (13.9)","92 (19.4)","64 (16.7)","739 (16.5)",""
"23","","3","101 (23.1)","166 (29.5)","153 (28.7)","181 (35.6)","204 (27.9)","129 (33.2)","134 (28.3)","143 (30.1)","131 (34.1)","1342 (29.9)",""
"24","","4","52 (11.9)","124 (22.0)","123 (23.1)","112 (22.0)","187 (25.6)","102 (26.3)","91 (19.2)","98 (20.6)","90 (23.4)","979 (21.8)",""
"25","","5","60 (13.7)","84 (14.9)","140 (26.3)","80 (15.7)","201 (27.5)","68 (17.5)","144 (30.4)","70 (14.7)","66 (17.2)","913 (20.3)",""
