"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","Agree","190 (43.5)","243 (43.2)","217 (40.7)","215 (42.3)","275 (37.7)","182 (46.9)","200 (42.2)","187 (39.4)","147 (38.3)","1856 (41.3)","0.051"
"2","","Disagree","3 (0.7)","8 (1.4)","9 (1.7)","2 (0.4)","16 (2.2)","6 (1.5)","9 (1.9)","6 (1.3)","7 (1.8)","66 (1.5)",""
"3","","Neutral","43 (9.8)","73 (13.0)","89 (16.7)","61 (12.0)","108 (14.8)","40 (10.3)","67 (14.1)","66 (13.9)","45 (11.7)","592 (13.2)",""
"4","","Strongly agree","200 (45.8)","237 (42.1)","212 (39.8)","229 (45.1)","328 (44.9)","159 (41.0)","197 (41.6)","214 (45.1)","182 (47.4)","1958 (43.6)",""
"5","","Strongly disagree","1 (0.2)","2 (0.4)","6 (1.1)","1 (0.2)","3 (0.4)","1 (0.3)","1 (0.2)","2 (0.4)","3 (0.8)","20 (0.4)",""
"6","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","Agree","197 (45.1)","231 (41.0)","198 (37.1)","206 (40.6)","263 (36.0)","169 (43.6)","194 (40.9)","199 (41.9)","150 (39.1)","1807 (40.2)","0.187"
"7","","Disagree","5 (1.1)","17 (3.0)","14 (2.6)","4 (0.8)","21 (2.9)","9 (2.3)","11 (2.3)","13 (2.7)","10 (2.6)","104 (2.3)",""
"8","","Neutral","44 (10.1)","61 (10.8)","75 (14.1)","64 (12.6)","104 (14.2)","40 (10.3)","60 (12.7)","57 (12.0)","40 (10.4)","545 (12.1)",""
"9","","Strongly agree","190 (43.5)","252 (44.8)","240 (45.0)","231 (45.5)","336 (46.0)","169 (43.6)","206 (43.5)","205 (43.2)","179 (46.6)","2008 (44.7)",""
"10","","Strongly disagree","1 (0.2)","2 (0.4)","6 (1.1)","3 (0.6)","6 (0.8)","1 (0.3)","3 (0.6)","1 (0.2)","5 (1.3)","28 (0.6)",""
"11","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","Agree","38 (8.7)","96 (17.1)","80 (15.0)","82 (16.1)","121 (16.6)","63 (16.2)","98 (20.7)","81 (17.1)","75 (19.5)","734 (16.3)","<0.001"
