"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","1","223 (51.0)","131 (23.3)","143 (26.8)","118 (23.2)","128 (17.5)","61 (15.7)","160 (33.8)","146 (30.7)","78 (20.3)","1188 (26.4)","<0.001"
"2","","2","108 (24.7)","161 (28.6)","159 (29.8)","162 (31.9)","193 (26.4)","107 (27.6)","141 (29.7)","141 (29.7)","122 (31.8)","1294 (28.8)",""
"3","","3","68 (15.6)","164 (29.1)","137 (25.7)","139 (27.4)","233 (31.9)","150 (38.7)","115 (24.3)","112 (23.6)","103 (26.8)","1221 (27.2)",""
"4","","4","26 (5.9)","75 (13.3)","56 (10.5)","63 (12.4)","135 (18.5)","57 (14.7)","31 (6.5)","49 (10.3)","53 (13.8)","545 (12.1)",""
"5","","5","12 (2.7)","32 (5.7)","38 (7.1)","26 (5.1)","41 (5.6)","13 (3.4)","27 (5.7)","27 (5.7)","28 (7.3)","244 (5.4)",""
"6","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","1","242 (55.4)","149 (26.5)","174 (32.6)","118 (23.2)","161 (22.1)","56 (14.4)","192 (40.5)","165 (34.7)","95 (24.7)","1352 (30.1)","<0.001"
"7","","2","97 (22.2)","167 (29.7)","147 (27.6)","158 (31.1)","211 (28.9)","140 (36.1)","145 (30.6)","149 (31.4)","130 (33.9)","1344 (29.9)",""
"8","","3","64 (14.6)","139 (24.7)","117 (22.0)","143 (28.1)","212 (29.0)","125 (32.2)","94 (19.8)","90 (18.9)","97 (25.3)","1081 (24.1)",""
"9","","4","22 (5.0)","81 (14.4)","61 (11.4)","65 (12.8)","113 (15.5)","57 (14.7)","28 (5.9)","44 (9.3)","47 (12.2)","518 (11.5)",""
"10","","5","12 (2.7)","27 (4.8)","34 (6.4)","24 (4.7)","33 (4.5)","10 (2.6)","15 (3.2)","27 (5.7)","15 (3.9)","197 (4.4)",""
"11","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","1","249 (57.0)","162 (28.8)","191 (35.8)","143 (28.1)","210 (28.8)","77 (19.8)","221 (46.6)","199 (41.9)","110 (28.6)","1562 (34.8)","<0.001"
"12","","2","103 (23.6)","165 (29.3)","150 (28.1)","149 (29.3)","204 (27.9)","135 (34.8)","143 (30.2)","132 (27.8)","130 (33.9)","1311 (29.2)",""
"13","","3","53 (12.1)","128 (22.7)","101 (18.9)","116 (22.8)","185 (25.3)","102 (26.3)","71 (15.0)","83 (17.5)","76 (19.8)","915 (20.4)",""
"14","","4","25 (5.7)","78 (13.9)","58 (10.9)","69 (13.6)","93 (12.7)","64 (16.5)","27 (5.7)","41 (8.6)","48 (12.5)","503 (11.2)",""
"15","","5","7 (1.6)","30 (5.3)","33 (6.2)","31 (6.1)","38 (5.2)","10 (2.6)","12 (2.5)","20 (4.2)","20 (5.2)","201 (4.5)",""
"16","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","No","250 (57.2)","380 (67.5)","358 (67.2)","332 (65.4)","480 (65.8)","248 (63.9)","356 (75.1)","298 (62.7)","240 (62.5)","2942 (65.5)","<0.001"
"17","","Yes","187 (42.8)","183 (32.5)","175 (32.8)","176 (34.6)","250 (34.2)","140 (36.1)","118 (24.9)","177 (37.3)","144 (37.5)","1550 (34.5)",""
"18","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","No","399 (91.3)","476 (84.5)","424 (79.5)","433 (85.2)","591 (81.0)","326 (84.0)","418 (88.2)","361 (76.0)","307 (79.9)","3735 (83.1)","<0.001"
"19","","Yes","38 (8.7)","87 (15.5)","109 (20.5)","75 (14.8)","139 (19.0)","62 (16.0)","56 (11.8)","114 (24.0)","77 (20.1)","757 (16.9)",""
"20","X12.Your.exposure.to.artificial.intelligence.includes...Please.select.all.that.apply.","2","14 (3.2)","35 (6.2)","35 (6.6)","24 (4.7)","32 (4.4)","22 (5.7)","17 (3.6)","20 (4.2)","12 (3.1)","211 (4.7)","<0.001"
"21","","3","6 (1.4)","13 (2.3)","18 (3.4)","7 (1.4)","19 (2.6)","10 (2.6)","11 (2.3)","12 (2.5)","11 (2.9)","107 (2.4)",""
"22","","Clinical research involving artificial intelligence","25 (5.7)","32 (5.7)","47 (8.8)","25 (4.9)","46 (6.3)","22 (5.7)","13 (2.7)","29 (6.1)","23 (6.0)","262 (5.8)",""
"23","","Computer science projects involving artificial intelligence","12 (2.7)","30 (5.3)","36 (6.8)","41 (8.1)","42 (5.8)","35 (9.0)","19 (4.0)","19 (4.0)","26 (6.8)","260 (5.8)",""
"24","","Courses on artificial intelligence / machine learning","22 (5.0)","30 (5.3)","31 (5.8)","29 (5.7)","75 (10.3)","19 (4.9)","33 (7.0)","28 (5.9)","17 (4.4)","284 (6.3)",""
"25","","None of the above","358 (81.9)","423 (75.1)","366 (68.7)","382 (75.2)","516 (70.7)","280 (72.2)","381 (80.4)","367 (77.3)","295 (76.8)","3368 (75.0)",""
"26","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","FALSE","20 (4.6)","21 (3.7)","24 (4.5)","17 (3.3)","49 (6.7)","20 (5.2)","11 (2.3)","21 (4.4)","25 (6.5)","208 (4.6)","<0.001"
"27","","I don't know","329 (75.3)","374 (66.4)","334 (62.7)","311 (61.2)","459 (62.9)","219 (56.4)","345 (72.8)","271 (57.1)","258 (67.2)","2900 (64.6)",""
"28","","TRUE","88 (20.1)","168 (29.8)","175 (32.8)","180 (35.4)","222 (30.4)","149 (38.4)","118 (24.9)","183 (38.5)","101 (26.3)","1384 (30.8)",""
"29","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","FALSE","61 (14.0)","118 (21.0)","128 (24.0)","100 (19.7)","164 (22.5)","117 (30.2)","69 (14.6)","88 (18.5)","83 (21.6)","928 (20.7)","<0.001"
"30","","I don't know","327 (74.8)","349 (62.0)","326 (61.2)","307 (60.4)","423 (57.9)","215 (55.4)","339 (71.5)","273 (57.5)","247 (64.3)","2806 (62.5)",""
"31","","TRUE","49 (11.2)","96 (17.1)","79 (14.8)","101 (19.9)","143 (19.6)","56 (14.4)","66 (13.9)","114 (24.0)","54 (14.1)","758 (16.9)",""
"32","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","FALSE","8 (1.8)","22 (3.9)","26 (4.9)","19 (3.7)","52 (7.1)","28 (7.2)","16 (3.4)","19 (4.0)","20 (5.2)","210 (4.7)","<0.001"
"33","","I don't know","265 (60.6)","302 (53.6)","274 (51.4)","255 (50.2)","352 (48.2)","184 (47.4)","307 (64.8)","209 (44.0)","212 (55.2)","2360 (52.5)",""
"34","","TRUE","164 (37.5)","239 (42.5)","233 (43.7)","234 (46.1)","326 (44.7)","176 (45.4)","151 (31.9)","247 (52.0)","152 (39.6)","1922 (42.8)",""
"35","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","FALSE","34 (7.8)","57 (10.1)","66 (12.4)","68 (13.4)","74 (10.1)","69 (17.8)","40 (8.4)","67 (14.1)","53 (13.8)","528 (11.8)","<0.001"
"36","","I don't know","328 (75.1)","375 (66.6)","322 (60.4)","319 (62.8)","413 (56.6)","234 (60.3)","335 (70.7)","280 (58.9)","236 (61.5)","2842 (63.3)",""
"37","","TRUE","75 (17.2)","131 (23.3)","145 (27.2)","121 (23.8)","243 (33.3)","85 (21.9)","99 (20.9)","128 (26.9)","95 (24.7)","1122 (25.0)",""
