"","Dependent: knowledge_levels"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","2469 (98.3)","42 (1.7)","-","-"
"4","","Male","1445 (96.2)","57 (3.8)","2.32 (1.55-3.49, p<0.001)","1.08 (0.66-1.75, p=0.768)"
"19","X3.University","Governnmental","3422 (97.9)","75 (2.1)","-","-"
"20","","International","55 (96.5)","2 (3.5)","1.66 (0.27-5.46, p=0.488)","0.46 (0.06-2.33, p=0.393)"
"21","","Private","437 (95.2)","22 (4.8)","2.30 (1.38-3.67, p=0.001)","2.10 (1.12-3.79, p=0.017)"
"12","living_zone","Rural","893 (98.7)","12 (1.3)","-","-"
"13","","Urban","3021 (97.2)","87 (2.8)","2.14 (1.21-4.14, p=0.014)","2.21 (1.10-4.85, p=0.035)"
"5","grade","1","689 (98.1)","13 (1.9)","-","-"
"6","","2","635 (97.5)","16 (2.5)","1.34 (0.64-2.85, p=0.443)","1.04 (0.43-2.56, p=0.933)"
"7","","3","758 (97.9)","16 (2.1)","1.12 (0.53-2.38, p=0.766)","1.05 (0.44-2.51, p=0.917)"
"8","","4","646 (96.7)","22 (3.3)","1.80 (0.91-3.71, p=0.095)","1.66 (0.74-3.88, p=0.230)"
"9","","5","460 (97.7)","11 (2.3)","1.27 (0.55-2.86, p=0.567)","1.56 (0.61-4.00, p=0.348)"
"10","","6","417 (98.6)","6 (1.4)","0.76 (0.27-1.95, p=0.586)","1.15 (0.34-3.45, p=0.813)"
"11","","Intern (Emtyaz)","309 (95.4)","15 (4.6)","2.57 (1.21-5.55, p=0.014)","2.00 (0.79-5.11, p=0.143)"
"14","tech_experience","1","420 (99.5)","2 (0.5)","-","-"
"15","","2","846 (99.9)","1 (0.1)","0.25 (0.01-2.60, p=0.256)","0.29 (0.01-3.07, p=0.313)"
"16","","3","1641 (99.6)","7 (0.4)","0.90 (0.22-6.03, p=0.891)","0.75 (0.18-5.15, p=0.726)"
"17","","4","750 (96.3)","29 (3.7)","8.12 (2.43-50.40, p=0.004)","6.63 (1.90-41.99, p=0.012)"
"18","","5","257 (81.1)","60 (18.9)","49.03 (15.15-300.59, p<0.001)","33.53 (9.76-211.46, p<0.001)"
"1","AI_training_q","No","3749 (98.8)","46 (1.2)","-","-"
"2","","Yes","165 (75.7)","53 (24.3)","26.18 (17.14-40.15, p<0.001)","20.08 (12.11-33.69, p<0.001)"
