"","Dependent: knowledge_levels"," ","0","1","OR (univariable)","OR (multivariable)"
"1","gender","Female","2469 (90.6)","257 (9.4)","-","-"
"2","","Male","1445 (86.7)","222 (13.3)","1.48 (1.22-1.79, p<0.001)","1.10 (0.90-1.35, p=0.357)"
"17","X3.University","Governnmental","3422 (90.0)","380 (10.0)","-","-"
"18","","International","55 (82.1)","12 (17.9)","1.96 (1.00-3.57, p=0.037)","1.53 (0.74-2.92, p=0.219)"
"19","","Private","437 (83.4)","87 (16.6)","1.79 (1.38-2.30, p<0.001)","1.53 (1.16-2.01, p=0.002)"
"10","living_zone","Rural","893 (89.8)","101 (10.2)","-","-"
"11","","Urban","3021 (88.9)","378 (11.1)","1.11 (0.88-1.40, p=0.393)","0.94 (0.74-1.20, p=0.605)"
"3","grade","1","689 (90.5)","72 (9.5)","-","-"
"4","","2","635 (88.9)","79 (11.1)","1.19 (0.85-1.67, p=0.310)","1.06 (0.74-1.51, p=0.749)"
"5","","3","758 (89.4)","90 (10.6)","1.14 (0.82-1.58, p=0.443)","1.00 (0.71-1.41, p=0.992)"
"6","","4","646 (88.6)","83 (11.4)","1.23 (0.88-1.72, p=0.224)","1.12 (0.79-1.60, p=0.523)"
"7","","5","460 (89.0)","57 (11.0)","1.19 (0.82-1.71, p=0.363)","1.12 (0.76-1.65, p=0.552)"
"8","","6","417 (89.7)","48 (10.3)","1.10 (0.75-1.61, p=0.622)","1.07 (0.71-1.60, p=0.750)"
"9","","Intern (Emtyaz)","309 (86.1)","50 (13.9)","1.55 (1.05-2.27, p=0.026)","1.28 (0.85-1.93, p=0.230)"
"12","tech_experience","1","420 (98.1)","8 (1.9)","-","-"
"13","","2","846 (96.9)","27 (3.1)","1.68 (0.79-3.98, p=0.205)","1.62 (0.76-3.85, p=0.235)"
"14","","3","1641 (92.3)","136 (7.7)","4.35 (2.26-9.73, p<0.001)","4.17 (2.16-9.34, p<0.001)"
"15","","4","750 (81.4)","171 (18.6)","11.97 (6.23-26.74, p<0.001)","11.19 (5.80-25.03, p<0.001)"
"16","","5","257 (65.2)","137 (34.8)","27.99 (14.38-63.05, p<0.001)","25.82 (13.20-58.36, p<0.001)"
