"","Dependent: knowledge_levels"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","2469 (90.6)","257 (9.4)","-","-"
"4","","Male","1445 (86.7)","222 (13.3)","1.48 (1.22-1.79, p<0.001)","1.05 (0.85-1.29, p=0.681)"
"19","X3.University","Governnmental","3422 (90.0)","380 (10.0)","-","-"
"20","","International","55 (82.1)","12 (17.9)","1.96 (1.00-3.57, p=0.037)","1.15 (0.53-2.33, p=0.700)"
"21","","Private","437 (83.4)","87 (16.6)","1.79 (1.38-2.30, p<0.001)","1.48 (1.11-1.96, p=0.007)"
"12","living_zone","Rural","893 (89.8)","101 (10.2)","-","-"
"13","","Urban","3021 (88.9)","378 (11.1)","1.11 (0.88-1.40, p=0.393)","0.94 (0.73-1.22, p=0.651)"
"5","grade","1","689 (90.5)","72 (9.5)","-","-"
"6","","2","635 (88.9)","79 (11.1)","1.19 (0.85-1.67, p=0.310)","1.14 (0.79-1.65, p=0.495)"
"7","","3","758 (89.4)","90 (10.6)","1.14 (0.82-1.58, p=0.443)","1.04 (0.73-1.49, p=0.815)"
"8","","4","646 (88.6)","83 (11.4)","1.23 (0.88-1.72, p=0.224)","1.15 (0.80-1.66, p=0.450)"
"9","","5","460 (89.0)","57 (11.0)","1.19 (0.82-1.71, p=0.363)","1.13 (0.75-1.69, p=0.546)"
"10","","6","417 (89.7)","48 (10.3)","1.10 (0.75-1.61, p=0.622)","1.13 (0.74-1.72, p=0.567)"
"11","","Intern (Emtyaz)","309 (86.1)","50 (13.9)","1.55 (1.05-2.27, p=0.026)","1.42 (0.92-2.16, p=0.106)"
"14","tech_experience","1","420 (98.1)","8 (1.9)","-","-"
"15","","2","846 (96.9)","27 (3.1)","1.68 (0.79-3.98, p=0.205)","1.75 (0.82-4.17, p=0.175)"
"16","","3","1641 (92.3)","136 (7.7)","4.35 (2.26-9.73, p<0.001)","4.12 (2.12-9.27, p<0.001)"
"17","","4","750 (81.4)","171 (18.6)","11.97 (6.23-26.74, p<0.001)","10.95 (5.64-24.64, p<0.001)"
"18","","5","257 (65.2)","137 (34.8)","27.99 (14.38-63.05, p<0.001)","23.90 (12.10-54.41, p<0.001)"
"1","AI_training_q","No","3749 (91.3)","357 (8.7)","-","-"
"2","","Yes","165 (57.5)","122 (42.5)","7.76 (5.99-10.04, p<0.001)","6.48 (4.88-8.59, p<0.001)"
