"","gender","university","living_zone","grade","tech_experience","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams.","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers..1","df.ai_training","df.knowledge_merged"
"1","Male","Private","Urban","2","3","9","1","9","1","0","1","9","9","1","9","1","1","0","0","0","1","0","9","1","9","1","1","0","9","1","0","9","9","9","9","9","9","1","N","No","low"
"2","Female","Governnmental","Urban","4","3","9","9","9","9","0","0","1","9","1","9","1","1","1","1","0","0","1","1","0","1","1","1","1","9","1","1","9","1","1","1","1","1","1","N","No","low"
"3","Female","Governnmental","Urban","4","5","1","9","1","9","1","0","1","9","1","9","1","1","9","0","0","1","1","1","1","1","1","1","1","9","1","1","9","1","9","1","1","0","0","A/SA","No","low"
"4","Male","Governnmental","Rural","5","3","9","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","9","9","0","9","1","1","1","1","N","Yes","high/moderate"
"5","Male","Governnmental","Urban","6","4","1","0","9","1","0","0","1","1","9","9","1","1","9","0","0","0","9","1","9","1","1","1","1","9","1","1","1","1","1","1","1","1","1","A/SA","No","low"
"6","Male","Governnmental","Urban","6","5","1","1","1","1","1","1","0","9","1","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1","A/SA","Yes","high/moderate"
"7","Female","Governnmental","Urban","6","5","1","1","1","9","1","1","1","9","1","0","1","1","1","1","9","1","1","1","9","1","1","1","9","9","1","1","1","1","1","1","9","9","9","A/SA","Yes","high/moderate"
"8","Male","Governnmental","Rural","6","3","9","0","9","9","1","0","1","9","1","1","1","1","1","9","0","0","9","9","0","0","1","1","9","9","1","1","1","1","9","9","1","1","1","N","Yes","low"
"9","Male","Governnmental","Rural","6","4","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1","A/SA","No","high/moderate"
"10","Male","Governnmental","Urban","6","3","9","0","9","0","1","1","9","1","1","1","1","1","9","0","0","9","1","9","9","1","1","1","1","9","1","1","9","1","9","9","1","1","1","N","No","high/moderate"
"11","Male","Governnmental","Rural","Intern (Emtyaz)","5","1","0","0","1","1","1","0","1","1","0","1","1","9","9","0","0","9","9","0","0","9","0","0","9","1","9","1","9","1","1","1","1","1","A/SA","No","low"
"12","Male","Governnmental","Urban","Intern (Emtyaz)","4","1","1","1","1","1","1","1","9","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","9","0","0","0","0","0","1","1","1","1","A/SA","No","high/moderate"
"13","Male","Governnmental","Urban","Intern (Emtyaz)","3","9","1","1","0","1","1","1","1","0","0","1","1","1","9","9","9","1","1","9","1","1","1","1","9","1","9","1","1","1","1","1","9","9","N","No","high/moderate"
"14","Male","Private","Urban","Intern (Emtyaz)","4","1","9","9","9","0","0","9","9","1","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","9","9","9","9","0","1","1","1","A/SA","No","low"
"15","Female","Governnmental","Urban","Intern (Emtyaz)","5","1","1","1","1","1","1","9","9","1","1","1","1","9","9","9","9","1","1","1","9","1","1","9","9","1","1","1","1","9","9","1","1","1","A/SA","No","high/moderate"
"16","Male","Governnmental","Urban","2","3","9","0","1","0","0","1","0","9","1","9","9","1","1","1","1","1","9","1","9","1","9","1","9","9","1","0","1","9","9","1","0","9","1","N","Yes","low"
"17","Male","Governnmental","Urban","3","4","1","1","1","9","0","1","0","1","9","9","1","1","9","0","0","0","1","1","0","1","1","1","9","9","1","1","1","1","0","1","1","1","1","A/SA","No","high/moderate"
"18","Male","Governnmental","Urban","4","4","1","9","0","0","0","0","1","0","1","1","1","0","9","0","0","0","9","1","0","0","1","1","1","9","9","1","9","9","9","1","1","1","1","A/SA","No","low"
"19","Male","Governnmental","Rural","4","3","9","9","9","9","1","1","1","9","9","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","9","9","9","9","1","1","1","1","N","Yes","low"
"20","Male","Private","Urban","Intern (Emtyaz)","3","9","0","0","0","1","0","9","9","9","1","1","1","9","9","9","1","1","1","1","1","1","1","1","9","1","9","9","9","1","9","9","9","9","N","No","low"
"21","Male","Private","Rural","1","4","1","0","9","0","0","0","9","9","9","9","1","1","1","9","9","1","1","1","1","1","1","1","9","9","1","0","0","0","0","1","1","0","9","A/SA","No","low"
"22","Female","Private","Urban","2","4","1","1","9","1","1","0","9","9","9","9","1","1","1","9","9","1","9","0","1","1","9","1","1","9","1","1","9","9","9","1","1","1","9","A/SA","No","low"
