"","gender","university","living_zone","grade_merged","knowledge_merged","tech_merged","ai_training"
"1","Male","Private","Urban","Academic years","low","N","No"
"2","Female","Governnmental","Urban","Clinical Years","low","N","No"
"3","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"4","Male","Governnmental","Rural","Clinical Years","high/moderate","N","Yes"
"5","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"6","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"7","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"8","Male","Governnmental","Rural","Clinical Years","low","N","Yes"
"9","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"10","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"11","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"12","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"13","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"14","Male","Private","Urban","Clinical Years","low","A/SA","No"
"15","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"16","Male","Governnmental","Urban","Academic years","low","N","Yes"
"17","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"18","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"19","Male","Governnmental","Rural","Clinical Years","low","N","Yes"
"20","Male","Private","Urban","Clinical Years","low","N","No"
"21","Male","Private","Rural","Academic years","low","A/SA","No"
"22","Female","Private","Urban","Academic years","low","A/SA","No"
"23","Female","Governnmental","Rural","Academic years","low","N","No"
"24","Male","Private","Urban","Academic years","low","D/SD","No"
"25","Female","Private","Urban","Clinical Years","high/moderate","A/SA","Yes"
"26","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"27","Female","Governnmental","Rural","Clinical Years","low","N","No"
"28","Male","Private","Rural","Clinical Years","low","D/SD","No"
"29","Male","Governnmental","Urban","Clinical Years","low","N","No"
"30","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"31","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"32","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"33","Male","Private","Rural","Clinical Years","high/moderate","D/SD","Yes"
"34","Male","Private","Urban","Academic years","low","A/SA","No"
"35","Female","International","Rural","Clinical Years","low","A/SA","Yes"
"36","Male","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"37","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"38","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","Yes"
