"","Dependent: knowledge_merged"," ","0","1","OR (univariable)","OR (multivariable)"
"1","df.X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","A/SA","3287 (86.2)","527 (13.8)","-","-"
"2","","D/SD","73 (84.9)","13 (15.1)","1.11 (0.58-1.95, p=0.730)","1.07 (0.46-2.35, p=0.868)"
"3","","N","554 (93.6)","38 (6.4)","0.43 (0.30-0.59, p<0.001)","0.70 (0.46-1.03, p=0.078)"
"4","df.X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","A/SA","3299 (86.5)","516 (13.5)","-","-"
"5","","D/SD","109 (82.6)","23 (17.4)","1.35 (0.83-2.10, p=0.201)","2.25 (1.21-4.07, p=0.009)"
"6","","N","506 (92.8)","39 (7.2)","0.49 (0.35-0.68, p<0.001)","1.12 (0.74-1.66, p=0.590)"
"7","df.X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","A/SA","874 (79.0)","232 (21.0)","-","-"
"8","","D/SD","1599 (89.2)","194 (10.8)","0.46 (0.37-0.56, p<0.001)","0.97 (0.72-1.32, p=0.857)"
"9","","N","1441 (90.5)","152 (9.5)","0.40 (0.32-0.50, p<0.001)","0.79 (0.60-1.05, p=0.101)"
"10","df.X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","A/SA","467 (72.4)","178 (27.6)","-","-"
"11","","D/SD","2437 (89.6)","283 (10.4)","0.30 (0.25-0.38, p<0.001)","0.71 (0.49-1.03, p=0.072)"
"12","","N","1010 (89.6)","117 (10.4)","0.30 (0.23-0.39, p<0.001)","0.72 (0.51-1.03, p=0.068)"
"13","df.X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","A/SA","326 (68.8)","148 (31.2)","-","-"
