"","Dependent: knowledge_merged"," ","0","1","OR (univariable)","OR (multivariable)"
"1","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","Agree","1659 (89.4)","197 (10.6)","-","-"
"2","","Disagree","55 (83.3)","11 (16.7)","1.68 (0.82-3.15, p=0.124)","1.58 (0.64-3.66, p=0.305)"
"3","","Neutral","554 (93.6)","38 (6.4)","0.58 (0.40-0.82, p=0.003)","0.68 (0.44-1.03, p=0.074)"
"4","","Strongly agree","1628 (83.1)","330 (16.9)","1.71 (1.41-2.07, p<0.001)","0.97 (0.74-1.26, p=0.805)"
"5","","Strongly disagree","18 (90.0)","2 (10.0)","0.94 (0.15-3.27, p=0.929)","0.39 (0.05-2.29, p=0.330)"
"6","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","Agree","1631 (90.3)","176 (9.7)","-","-"
"7","","Disagree","85 (81.7)","19 (18.3)","2.07 (1.20-3.42, p=0.006)","2.32 (1.16-4.44, p=0.014)"
"8","","Neutral","506 (92.8)","39 (7.2)","0.71 (0.49-1.01, p=0.068)","1.22 (0.79-1.85, p=0.370)"
"9","","Strongly agree","1668 (83.1)","340 (16.9)","1.89 (1.56-2.30, p<0.001)","1.23 (0.94-1.62, p=0.129)"
"10","","Strongly disagree","24 (85.7)","4 (14.3)","1.54 (0.45-4.05, p=0.426)","2.57 (0.57-9.48, p=0.181)"
"11","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","Agree","618 (84.2)","116 (15.8)","-","-"
"12","","Disagree","1264 (89.3)","152 (10.7)","0.64 (0.49-0.83, p=0.001)","1.13 (0.80-1.61, p=0.479)"
"13","","Neutral","1441 (90.5)","152 (9.5)","0.56 (0.43-0.73, p<0.001)","0.91 (0.66-1.25, p=0.553)"
"14","","Strongly agree","256 (68.8)","116 (31.2)","2.41 (1.80-3.25, p<0.001)","1.50 (1.01-2.20, p=0.041)"
"15","","Strongly disagree","335 (88.9)","42 (11.1)","0.67 (0.45-0.97, p=0.036)","1.11 (0.65-1.90, p=0.706)"
"16","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","Agree","309 (77.4)","90 (22.6)","-","-"
"17","","Disagree","1647 (89.5)","194 (10.5)","0.40 (0.31-0.54, p<0.001)","0.71 (0.47-1.08, p=0.110)"
"18","","Neutral","1010 (89.6)","117 (10.4)","0.40 (0.29-0.54, p<0.001)","0.74 (0.50-1.09, p=0.125)"
"19","","Strongly agree","158 (64.2)","88 (35.8)","1.91 (1.35-2.72, p<0.001)","0.75 (0.46-1.22, p=0.248)"
"20","","Strongly disagree","790 (89.9)","89 (10.1)","0.39 (0.28-0.53, p<0.001)","0.61 (0.36-1.03, p=0.066)"
"21","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","Agree","204 (73.9)","72 (26.1)","-","-"
"22","","Disagree","1638 (89.6)","190 (10.4)","0.33 (0.24-0.45, p<0.001)","0.57 (0.37-0.88, p=0.011)"
"23","","Disagree","1638 (89.6)","190 (10.4)","0.33 (0.24-0.45, p<0.001)","0.57 (0.37-0.88, p=0.011)"
"24","","Neutral","643 (88.2)","86 (11.8)","0.38 (0.27-0.54, p<0.001)","0.71 (0.46-1.11, p=0.135)"
"25","","Neutral","643 (88.2)","86 (11.8)","0.38 (0.27-0.54, p<0.001)","0.71 (0.46-1.11, p=0.135)"
"26","","Strongly agree","122 (61.6)","76 (38.4)","1.77 (1.19-2.62, p=0.005)","1.37 (0.81-2.30, p=0.237)"
"27","","Strongly agree","122 (61.6)","76 (38.4)","1.77 (1.19-2.62, p=0.005)","1.37 (0.81-2.30, p=0.237)"
"28","","Strongly disagree","1307 (89.5)","154 (10.5)","0.33 (0.24-0.46, p<0.001)","0.63 (0.39-1.03, p=0.064)"
"29","","Strongly disagree","1307 (89.5)","154 (10.5)","0.33 (0.24-0.46, p<0.001)","0.63 (0.39-1.03, p=0.064)"
"30","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","Agree","862 (87.1)","128 (12.9)","-","-"
"31","","Disagree","797 (89.9)","90 (10.1)","0.76 (0.57-1.01, p=0.061)","0.78 (0.56-1.08, p=0.132)"
"32","","Neutral","1289 (89.0)","159 (11.0)","0.83 (0.65-1.07, p=0.143)","1.06 (0.80-1.41, p=0.675)"
"33","","Strongly agree","665 (85.3)","115 (14.7)","1.16 (0.89-1.53, p=0.271)","0.84 (0.60-1.16, p=0.294)"
"34","","Strongly disagree","301 (77.8)","86 (22.2)","1.92 (1.42-2.60, p<0.001)","1.70 (1.17-2.48, p=0.005)"
"35","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","Agree","1372 (86.8)","209 (13.2)","-","-"
"36","","Disagree","414 (93.5)","29 (6.5)","0.46 (0.30-0.68, p<0.001)","0.41 (0.24-0.68, p=0.001)"
"37","","Neutral","1264 (93.1)","93 (6.9)","0.48 (0.37-0.62, p<0.001)","0.58 (0.42-0.79, p=0.001)"
"38","","Strongly agree","742 (75.7)","238 (24.3)","2.11 (1.71-2.59, p<0.001)","1.31 (0.96-1.78, p=0.090)"
"39","","Strongly disagree","122 (93.1)","9 (6.9)","0.48 (0.23-0.92, p=0.040)","0.49 (0.19-1.15, p=0.120)"
"40","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","Agree","1506 (88.1)","204 (11.9)","-","-"
"41","","Disagree","358 (90.2)","39 (9.8)","0.80 (0.55-1.14, p=0.237)","1.63 (0.99-2.66, p=0.050)"
"42","","Neutral","1061 (92.3)","88 (7.7)","0.61 (0.47-0.79, p<0.001)","1.15 (0.83-1.59, p=0.392)"
"43","","Strongly agree","876 (78.6)","239 (21.4)","2.01 (1.64-2.47, p<0.001)","0.94 (0.69-1.27, p=0.678)"
"44","","Strongly disagree","113 (93.4)","8 (6.6)","0.52 (0.23-1.02, p=0.082)","0.74 (0.26-1.90, p=0.555)"
"45","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","Agree","1107 (86.9)","167 (13.1)","-","-"
"46","","Disagree","311 (86.4)","49 (13.6)","1.04 (0.74-1.46, p=0.804)","1.00 (0.68-1.47, p=0.988)"
"47","","Neutral","891 (90.4)","95 (9.6)","0.71 (0.54-0.92, p=0.011)","0.87 (0.64-1.17, p=0.350)"
"48","","Strongly agree","1514 (85.9)","248 (14.1)","1.09 (0.88-1.34, p=0.444)","0.87 (0.67-1.12, p=0.265)"
"49","","Strongly disagree","91 (82.7)","19 (17.3)","1.38 (0.80-2.28, p=0.221)","1.17 (0.62-2.12, p=0.625)"
"50","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","Agree","1399 (86.4)","221 (13.6)","-","-"
"51","","Disagree","568 (88.9)","71 (11.1)","0.79 (0.59-1.05, p=0.107)","0.97 (0.70-1.34, p=0.873)"
"52","","Neutral","1379 (91.6)","127 (8.4)","0.58 (0.46-0.73, p<0.001)","0.86 (0.66-1.11, p=0.254)"
"53","","Strongly agree","438 (76.3)","136 (23.7)","1.97 (1.55-2.49, p<0.001)","1.01 (0.73-1.38, p=0.975)"
"54","","Strongly disagree","130 (85.0)","23 (15.0)","1.12 (0.69-1.75, p=0.633)","1.14 (0.64-1.98, p=0.639)"
